Source:,http://dec.alaska.gov/Applications/SPAR/PublicMVC/CSP/Search Records.csv,,,,,,,,,,,,,,,,
Hazard ID,File ID,Archived Record Key,LUST Event ID,CS or LUST,Site Name,Address,City,Borough,State,Zip Code,Status,Staff,Landowner,Site Type,Latitude,Longitude,Horizontal Datum
1579,2404.38.001,1.99225E+12,,CSP,FAA Aniak Bldg. 200 POL Releases,Aniak Airport,Aniak,Bethel,AK,99557,Cleanup Complete, No Longer Assigned,,Airport/Airfield,61.575559,-159.526638,NAD83
1640,FAA Fort Yuk,1.99231E+12,,CSP,FAA Fort Yukon H Marker Fac.,Airport Vicinity,Fort Yukon,Yukon Koyukuk,AK,99740,Cleanup Complete, No Longer Assigned,,Airport/Airfield,66.575833,-145.223889,NAD27
1694,170.38.016,1.99233E+12,,CSP,FAA Northway Tank 52-C-01 (former) Shop Building 202,Former Building 202,Northway,Southeast Fairbanks,AK,99764,Cleanup Complete, No Longer Assigned,ADOT&PF - Valdez,Airport/Airfield,62.964033,-141.924633,WGS84
1695,170.38.019,1.99233E+12,,CSP,FAA Northway (A) Transmit. Bldg 401 RTR,Unknown,Northway,Southeast Fairbanks,AK,99764,Cleanup Complete, No Longer Assigned,ADOT&PF - Valdez,Airport/Airfield,62.969103,-141.954423,WGS84
1746,300.38.023,1.99273E+12,,CSP,Audi Air,Block 900 Lots 9 & 10,Deadhorse,North Slope,AK,99734,Cleanup Complete, IC Unit,ADOT&PF - Fairbanks,Airport/Airfield,70.198556,-148.451583,
1749,300.38.026,1.99273E+12,,CSP,Point McIntyre PM-1,Point McIntyre,Prudhoe Bay,North Slope,AK,99734,Cleanup Complete, No Longer Assigned,Alaska Dept. of Natural Res. - Land,Airport/Airfield,70.3908,-148.586,WGS84
1774,2339.38.001,1.99321E+12,,CSP,FAA Fire Island Station,Fire Island,Anchorage,Anchorage,AK,99502,Cleanup Complete, No Longer Assigned,,Airport/Airfield,61.14518,-150.23044,
1896,,1.99325E+12,,CSP,FAA McGrath Airport Building 206,BLM Access Road,McGrath,Yukon Koyukuk,AK,99627,Cleanup Complete, No Longer Assigned,ADOT&PF - Valdez,Airport/Airfield,62.956806,-155.592944,NAD27
2047,2258.38.002,1.99422E+12,,CSP,FAA Talkeetna Flight Service Station,Airport Road,Talkeetna,Matanuska Susitna,AK,99676,Cleanup Complete, No Longer Assigned,,Airport/Airfield,62.320278,-150.094167,NAD27
2186,2643.38.018,1.99425E+12,,CSP,St. George TPA 12 Former Hangar Building,Near Old Air Strip,Saint George,Aleutian Islands,AK,99591,Cleanup Complete, No Longer Assigned,ADOT&PF - Valdez,Airport/Airfield,56.601055,-169.577794,NAD83
2365,300.38.077,1.99473E+12,,CSP,"Airport Lease Property, Lot 2B Block 60",Lot 2B Block 60 Deadhorse,Deadhorse,North Slope,AK,99734,Cleanup Complete, IC Unit,ADOT&PF - Anchorage,Airport/Airfield,70.2023,-148.4626,WGS84
2925,320.38.004,199731X106205,,CSP,Lonely AFS Dewline - Hangar Pad SS13,Point Lonely,Nuiqsut,North Slope,AK,99789,Cleanup Complete, No Longer Assigned,,Airport/Airfield,70.90989,-153.237462,WGS84
3002,2100.38.339,1.99821E+12,,CSP,Merrill Field Airport HOT - E. 14th,1545 East 14th Avenue,Anchorage,Anchorage,AK,99501,Cleanup Complete, IC Unit,,Airport/Airfield,61.20874,-149.85446,NAD83
3003,2100.38.339,1.99821E+12,,CSP,Merrill Field Airport HOT - 15th Av,1505 East 15th Avenue,Anchorage,Anchorage,AK,99501,Cleanup Complete, IC Unit,,Airport/Airfield,61.208333,-149.852222,NAD27
